단원명,문제번호,문제,정답,해설
1-1신고대상 및 신고관청,1,공공주택 특별법에 따른 공급계약에 의해 부동산을 공급받는자로 선정된 지위에 관한 매매계약,O,"주시건택도공산빈집에 따른 공급계약 및 공급받는 자로 선정된 지위(분양권)의 매 매계약, 정비법 입주권 및 빈집법 입주권 매매계약은 신고대상이에요"
1-1신고대상 및 신고관청,2,택지개발촉진법에 따라 공급된 토지의 임대차계약,X,매매계약만 신고. 토지 임대차 계약(×)
1-1신고대상 및 신고관청,3,빈집 및 소규모주택 정비에 관한 특례법에 따른 부동산의 공급계약,O,"도시 및 주거환경정비법과 빈집 및 소 규모주택 정비에 관한 특례법은 공급계 약, 분양권, 입주권 모두 신고대상임"
1-1신고대상 및 신고관청,4,빈집 및 소규모주택 정비에 관한 특례법에 따른 공급계약을 통해 부동산을 공급받는 자로 선정된 지위의 매매계약,O,"비법, 빈집법 분양권"
1-1신고대상 및 신고관청,5,빈집 및 소규모주택 정비에 관한 특례법에 따른 사업시행계 획인가로 취득한 입주자로 선정된 지위의 매매계약,O,"비법, 빈집법 입주권"
1-1신고대상 및 신고관청,6,건축법에 따른 부동산의 공급계약,X,"건축법공급계약은×, 건축법에 따라 공급된 건축물의 매매계약은 맞음"
1-1신고대상 및 신고관청,7,건축물의 분양에 관한 법률에 따른 부동산의 공급계약,O,공급계약 및 공급계약을 통해 부동산을 공급받는 자로 선정된 지위의 매매계약
1-1신고대상 및 신고관청,8,공인중개사법령상 중개대상물에 속하는 물건의 매매계약을 체 결한 때에는 모두 부동산거래신고를 해야 한다.,X,"목, 광업재단, 공장재단의 매매계약은 신고대상이 아니에요"
1-1신고대상 및 신고관청,9,주택법에 따른 조정대상지역에 소재하는 주택의 증여계약은 부동산 거래신고를 해야 한다.,X,매매계약만 신고한다니까요. 증여아님
1-1신고대상 및 신고관청,10,거래신고를 하려는 개업공인중개사는 부동산거래계약 신고서 에 서명 또는 날인하여 중개사무소 소재지 관할 시장·군수 또 는 구청장에 제출해야 한다.,X,부동산 등 소재지 관할 신고관청에 신고 해야해요
1-1신고대상 및 신고관청,11,부동산 등 소재지를 관할하는 특별자치도 행정시의 시장은 부 동산 거래신고의 신고관청이 된다.,O,부동산 등 소재지 관할 시장(구가 설치되지 아니한 시의 시장 특별자치시장 특별자치 도의 행정시장)·군수·구청장이 신고관청
1-1신고대상 및 신고관청,12,토지와 건축물의 교환계약서를 작성·교부한 개업공인중개사 는 부동산 거래신고를 해야 한다.,X,매매계약만 신고해요.
1-2. 신고의무자,13,부동산 매매계약을 체결한 거래당사자는 거래계약의 체결일부 터 60일 이내에 신고관청에 공동으로 신고해야 한다.,X,부동산 거래신고는 계약일 ~ 30일
1-2. 신고의무자,14,"거래당사자 중 일방이 국가인 경우, 국가가 부동산 거래계약의 신고를 해야한다.",O,국가 등이 신고해야 하고 다른 상대방은 신고의무가 없어요.
1-2. 신고의무자,15,지방공기업법에 따른 지방공사와 개인이 매매계약을 체결한 경우양 당사자는 공동으로 신고하여야 한다.,X,국가 등이 단독으로 신고해야 하고 다른 상대방은 신고의무가 없어요.
1-2. 신고의무자,16,거래당사자 간 직접거래의 경우 매도인이 거래신고를 거부하면 매수인이 단독으로 신고할 수 있다.,O,일방의 거부로 상대방이 단독신고를 할 때는 단독신고사유서 및 거래계약서 사본 을 첨부해야해요.
1-2. 신고의무자,17,개업공인중개사가 거래계약서를 작성·교부한 경우 거래당사 자는 30일 이내에 부동산 거래신고를 하여야 한다.,X,개업공인중개사가 신고해야죠. 중개거래 에서 거래당사자는 신고의무가 없어요
1-2. 신고의무자,18,개업공인중개사가 중개를 완성하여 거래계약서를 작성·교부 한 때에는 거래당사자와 개업공인중개사가 공동으로 신고해야 한다.,X,개업공인중개사가 신고해야 해요. 외로운 개공~~~
1-2. 신고의무자,19,개업공인중개사가 거래계약서를 작성·교부한 경우 거래당사 자는 부동산 거래신고 의무가 없다.,O,좋아요.
1-2. 신고의무자,20,개업공인중개사가 공동으로 토지의 매매를 중개하여 거래계약 서를 작성·교부한 경우 해당 개업공인중개사가 공동으로 신고 해야 한다.,O,그래야죠.
1-2. 신고의무자,21,국토교통부장관 또는 시·도지사가 지정한 허가구역에서 토지 거래계약의 허가를 받은 경우 부동산 거래신고를 하지 않아도 된다.,X,허가랑 신고는 별개예요. 신고·허가이 렇게 말 다르면 둘 다 해야 해요.
1-2. 신고의무자,22,농지의 매매계약에 대하여 농지법에 따른 농지취득자격증명 을 받은 경우라도 부동산 거래신고를 해야 한다.,O,"명, 신고 이렇게 다를 때에도 둘 다 해야 해요."
1-3. 부동산 거래신고: 신고사항,23,"개업공인중개사가 거래계약서를 작성·교부한 경우, 개업공인 중개사의 인적 사항과 개설등록한 중개사무소의 상호·전화번 호 및 소재지도 신고사항에 포함된다.",O,"공통 신고사항 1. 거래당사자의 인적 사항 2. 매수인이 외국인인 경우 위탁관리인 3. 중개거래: 개공의 인적 사항 및 사 무소의 상호, 전화번호, 소재지 4. 계약일, 중도금지급일, 잔금지급일 5. 조건 또는 기한(있는 경우) 6. 종류, 소재지, 지목, 면적 7. 실제거래금액"
1-3. 부동산 거래신고: 신고사항,24,부동산 등의 권리관계는 신고사항이다.,X,권리관계는 거래계약서 기재사항이에요.
1-3. 부동산 거래신고: 신고사항,25,매매대상 토지 중 공장부지로 편입되지 아니할 부분의 토지를 매도인에게 원가로 반환한다는 조건을 당사자가 약정한 경우 그 사항은 신고사항이다.,X,공법상 이용제한 및 거래규제는 확인·설 명 사항이지 신고사항이 아니에요
1-3. 부동산 거래신고: 신고사항,26,자연인이 주택법상 ‘조정대상지역 및 투기과열지구’ 외에 소 재하는 주택을 실제 거래가격 6억원으로 매수한 경우 입주 예 정 시기 등 그 주택의 이용계획은 신고사항이다.,O,"자연인이 비규제지역 6억 이상, 조정대상 지역 또는 투기과열지구 내의 모든 주택 을 취득하는 경우 자금조달계획 및 지급 방식, 입주 여부·입주예정시기 등 이용 계획신고"
1-3. 부동산 거래신고: 신고사항,27,법인이 주택의 매수자로서 거래계약을 체결한 경우 임대 등 그 주택의 이용계획은 신고사항이다.,O,"주택의 매수법인: 취득목적, 이용계획 자금조달계획 및 지급방식 신고"
1-4. 신고절차,28,거래당사자 간 직접거래의 경우 공동으로 신고서에 서명 또는 날인을 하여 공동으로 신고서를 제출해야 한다.,X,공동으로 제출하는 것은 아녜요.
1-4. 신고절차,29,지방자치단체가 개업공인중개사의 중개 없이 토지를 매수하는 경우 지방자치단체가 부동산거래계약 신고서에 단독으로 서명 또는 날인하여 신고관청에 제출해야 한다.,O,일방이 지방자치단체인 경우 지방자치단 체가 단독신고 해야죠. 다만 개업공인중 개사가 중개했다면 개공이 신고해야 해요.
1-4. 신고절차,30,중개거래인 경우 부동산거래계약 신고서에 개업공인중개사 및 거래당사자가 공동으로 서명 또는 날인을 해야 한다.,X,외로운 개공~ 개공만 서명 또는 날인
1-4. 신고절차,31,부동산거래계약 신고서의 방문 제출은 해당 계약을 중개한 개 업공인중개사의 위임을 받은 중개보조원이 대행할 수 있다.,X,"중개거래인 경우 소공만 제출을 대행할 수 있어요. 이때, 신고서에는 개공만 서명 또는 날인을 해요. 소공이 제출을 대행할 때에는 위임장도 내지 않지요."
1-4. 신고절차,32,"개업공인중개사의 위임을 받은 소속공인중개사가 부동산거래 계약 신고서의 제출을 대행하는 경우, 소속공인중개사는 신분 증명서를 신고관청에 보여줘야 한다.",O,"소공이 제출을 대행할 때 개공이 써준 신 고서를 제출하고 자신의 신분증을 제시하 면 되고, 위임장 등을 낼 필요가 없어요."
1-4. 신고절차,33,주택법에 따라 지정된 투기과열지구에 소재하는 주택의 거래 계약을 체결한 경우 신고서를 제출할 때 매수인과 매도인이 공 동으로 서명 또는 날인한 주택취득자금조달 및 입주계획서를 함께 제출하여야 한다.,X,자금조달·입주계획서는 매수인이 단독 으로 서명 또는 날인해요. 매도인과는 아 무런 상관이 없어요.
